;ADSK_Код изделия##OTHER##;ADSK_Номинальная мощность##ELECTRICAL_POWER##KILOVOLT_AMPERES;ADSK_Энергоэффективность##ELECTRICAL_EFFICACY##LUMENS_PER_WATT;ADSK_Масса##OTHER##;ADSK_Масса_Текст##OTHER##;ADSK_Размер_Длина##LENGTH##MILLIMETERS;ADSK_Размер_Ширина##LENGTH##MILLIMETERS;ADSK_Размер_Высота##LENGTH##MILLIMETERS;Файл фотометрической сетки##OTHER##;Световой поток##ELECTRICAL_LUMINOUS_FLUX##LUMENS;Исходная цветовая температура##COLOR_TEMPERATURE##KELVIN;Тип продукции##OTHER##;Тип ПРА##OTHER##;Тип ИС##OTHER##;IP Class##OTHER##;Класс Защиты##OTHER##;Климатическая зона##OTHER##;Область использования##OTHER##;Блок аварийного питания##OTHER##;Описание##OTHER##;URL##OTHER##;ADSK_Марка##OTHER##;ADSK_Наименование##OTHER##;Класс пожароопасности##OTHER##;ADSK_Коэффициент мощности##OTHER##;Корпус##OTHER##
OPL/R ECO LED 595 4000K ARMSTRONG;1028000270;0.032;113;3,8;3,8;595;595;122;C:\ProgramData\Autodesk\IES\LT_Company\1028000270_opl_r_eco_led_595_4000k_armstrong.ies;3600;4000;светильник;Драйвер;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;0;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 595 4000K ARMSTRONG;Встраиваемый светильникOPL/R ECO LED 595 4000K ARMSTRONG;Нет значения;0.95;Сталь Белый
OPL/R ECO LED 595 4000K CRI90 ARMSTRONG;1028002190;0.032;113;5;5;595;595;122;C:\ProgramData\Autodesk\IES\LT_Company\1028002190_opl_r_eco_led_595_4000k_cri90_armstrong.ies;3600;4000;светильник;Драйвер;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;0;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 595 4000K CRI90 ARMSTRONG;Встраиваемый светильникOPL/R ECO LED 595 4000K CRI90 ARMSTRONG;Нет значения;0.95;Сталь Белый
OPL/R ECO LED 595 4000K CRI90 DALI;1028002210;0.032;113;5;5;595;595;85;C:\ProgramData\Autodesk\IES\LT_Company\1028002210_opl_r_eco_led_595_4000k_cri90_dali.ies;3600;4000;светильник;Драйвер;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;0;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 595 4000K CRI90 DALI;Встраиваемый светильникOPL/R ECO LED 595 4000K CRI90 DALI;Нет значения;0.95;Сталь Белый
OPL/R ECO LED 595 4000K CRI90 EMT;1028002200;0.032;113;5;5;595;595;85;C:\ProgramData\Autodesk\IES\LT_Company\1028002200_opl_r_eco_led_595_4000k_cri90_emt.ies;3600;4000;светильник;Драйвер;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;0;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 595 4000K CRI90 EMT;Встраиваемый светильникOPL/R ECO LED 595 4000K CRI90 EMT;Нет значения;0.95;Сталь Белый
OPL/R ECO LED 595 4000K DALI;1028000360;0.032;113;4,5;4,5;595;595;85;C:\ProgramData\Autodesk\IES\LT_Company\1028000360_opl_r_eco_led_595_hfd_4000k.ies;3600;4000;светильник;Драйвер DALI;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;0;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 595 4000K DALI;Встраиваемый светильникOPL/R ECO LED 595 4000K DALI;Нет значения;0.95;Сталь Белый
OPL/R ECO LED 595 4000K DALI EMT;1028000570;0.032;113;4,5;4,5;595;595;85;C:\ProgramData\Autodesk\IES\LT_Company\1028000570_opl_r_eco_led_595_hfd_em_4000k.ies;3600;4000;светильник;Драйвер DALI;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;1;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 595 4000K DALI EMT;Встраиваемый светильникOPL/R ECO LED 595 4000K DALI EMT;Нет значения;0.95;Сталь Белый
OPL/R ECO LED 595 4000K EMT;1028000490;0.032;113;5,4;5,4;595;595;85;C:\ProgramData\Autodesk\IES\LT_Company\1028000490_opl_r_eco_led_595_em_4000k.ies;3600;4000;светильник;Драйвер;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;1;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 595 4000K EMT;Встраиваемый светильникOPL/R ECO LED 595 4000K EMT;Нет значения;0.95;Сталь Белый
OPL/R ECO LED 595 4000K EMT3;1028001400;0.032;113;5,4;5,4;595;595;85;C:\ProgramData\Autodesk\IES\LT_Company\1028001400_opl_r_eco_led_595_em3_4000k.ies;3600;4000;светильник;Драйвер;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;1;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 595 4000K EMT3;Встраиваемый светильникOPL/R ECO LED 595 4000K EMT3;Нет значения;0.95;Сталь Белый
OPL/R ECO LED 595 5000K;1028000080;0.032;113;4,5;4,5;595;595;85;C:\ProgramData\Autodesk\IES\LT_Company\1028000080_opl_r_eco_led_595_5000k.ies;3600;5000;светильник;Драйвер;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;0;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 595 5000K;Встраиваемый светильникOPL/R ECO LED 595 5000K;Нет значения;0.95;Сталь Белый

