;ADSK_Код изделия##OTHER##;ADSK_Номинальная мощность##ELECTRICAL_POWER##KILOVOLT_AMPERES;ADSK_Энергоэффективность##ELECTRICAL_EFFICACY##LUMENS_PER_WATT;ADSK_Масса##OTHER##;ADSK_Масса_Текст##OTHER##;ADSK_Размер_Длина##LENGTH##MILLIMETERS;ADSK_Размер_Ширина##LENGTH##MILLIMETERS;ADSK_Размер_Высота##LENGTH##MILLIMETERS;Файл фотометрической сетки##OTHER##;Световой поток##ELECTRICAL_LUMINOUS_FLUX##LUMENS;Исходная цветовая температура##COLOR_TEMPERATURE##KELVIN;Тип продукции##OTHER##;Тип ПРА##OTHER##;Тип ИС##OTHER##;IP Class##OTHER##;Класс Защиты##OTHER##;Климатическая зона##OTHER##;Область использования##OTHER##;Блок аварийного питания##OTHER##;Описание##OTHER##;URL##OTHER##;ADSK_Марка##OTHER##;ADSK_Наименование##OTHER##;Класс пожароопасности##OTHER##;ADSK_Коэффициент мощности##OTHER##;Корпус##OTHER##
OPL/R ECO LED 1200x600 4000K Clip-In;1028001660;0.064;103;9;9;1200;595;85;C:\ProgramData\Autodesk\IES\LT_Company\1028001660_opl_r_eco_led_1200x600_4000k_clip-in.ies;7200;4000;светильник;Драйвер;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;0;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 1200x600 4000K Clip-In;Встраиваемый светильникOPL/R ECO LED 1200x600 4000K Clip-In;Нет значения;0.95;Сталь Белый
OPL/R ECO LED 1200x600 4000K Edge 24-03;1028001990;0.064;103;8,8;8,8;1195;595;94;C:\ProgramData\Autodesk\IES\LT_Company\1028001990_opl_r_eco_led_1200x600_4000k_edge_24-03.ies;7200;4000;светильник;Драйвер;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;0;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 1200x600 4000K Edge 24-03;Встраиваемый светильникOPL/R ECO LED 1200x600 4000K Edge 24-03;Нет значения;0.95;Сталь Белый
OPL/R ECO LED 1200x600 4000K EM;1028001520;0.064;103;8,8;8,8;1195;595;85;C:\ProgramData\Autodesk\IES\LT_Company\1028001520_opl_r_eco_led_1200x600_4000k_em.ies;7200;4000;светильник;Драйвер;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;1;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 1200x600 4000K EM;Встраиваемый светильникOPL/R ECO LED 1200x600 4000K EM;Нет значения;0.95;Сталь Белый
OPL/R ECO LED 1200х600 3000K EM;1028001380;0.064;103;8,8;8,8;1195;595;85;C:\ProgramData\Autodesk\IES\LT_Company\1028001380_opl_r_eco_led_1200h600_em_3000k.ies;7200;3000;светильник;Драйвер;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;1;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 1200х600 3000K EM;Встраиваемый светильникOPL/R ECO LED 1200х600 3000K EM;Нет значения;0.95;Сталь Белый
OPL/R ECO LED 1200х600 4000K DALI;1028000400;0.064;103;9;9;1195;595;85;C:\ProgramData\Autodesk\IES\LT_Company\1028000400_opl_r_eco_led_1200h600_hfd_4000k.ies;7200;4000;светильник;Драйвер DALI;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;0;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 1200х600 4000K DALI;Встраиваемый светильникOPL/R ECO LED 1200х600 4000K DALI;Нет значения;0.95;Сталь Белый
OPL/R ECO LED 300 4000K;1028000260;0.018;89;2,8;2,8;295;595;85;C:\ProgramData\Autodesk\IES\LT_Company\1028000260_opl_r_eco_led_300_4000k.ies;1800;4000;светильник;Драйвер;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;0;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 300 4000K;Встраиваемый светильникOPL/R ECO LED 300 4000K;Нет значения;0.95;Сталь Белый
OPL/R ECO LED 300 4000K CRI90;1028002180;0.018;89;2,8;2,8;295;595;85;C:\ProgramData\Autodesk\IES\LT_Company\1028002180_opl_r_eco_led_300_4000k_cri90.ies;1800;4000;светильник;Драйвер;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;0;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 300 4000K CRI90;Встраиваемый светильникOPL/R ECO LED 300 4000K CRI90;Нет значения;0.95;Сталь Белый
OPL/R ECO LED 300 4000K DALI;1028001010;0.018;89;2,8;2,8;295;595;85;C:\ProgramData\Autodesk\IES\LT_Company\1028001010_opl_r_eco_led_300_hfd_4000k.ies;1800;4000;светильник;Драйвер DALI;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;0;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 300 4000K DALI;Встраиваемый светильникOPL/R ECO LED 300 4000K DALI;Нет значения;0.95;Сталь Белый
OPL/R ECO LED 300 4000K EMT;1028001070;0.018;89;2,8;2,8;295;595;85;C:\ProgramData\Autodesk\IES\LT_Company\1028001070_opl_r_eco_led_300_em_4000k.ies;1800;4000;светильник;Драйвер;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;1;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 300 4000K EMT;Встраиваемый светильникOPL/R ECO LED 300 4000K EMT;Нет значения;0.95;Сталь Белый
OPL/R ECO LED 595 (20) 4000K;1028002010;0.02;68;4,45;4,45;595;595;85;C:\ProgramData\Autodesk\IES\LT_Company\1028002010_opl_r_eco_led_595_(20)_4000k.ies;2200;4000;светильник;Драйвер;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;0;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 595 (20) 4000K;Встраиваемый светильникOPL/R ECO LED 595 (20) 4000K;Нет значения;0.95;Сталь Белый
OPL/R ECO LED 595 (20) 4000K EM;1028002020;0.02;68;4,45;4,45;595;595;85;C:\ProgramData\Autodesk\IES\LT_Company\1028002020_opl_r_eco_led_595_(20)_4000k_em.ies;2200;4000;светильник;Драйвер;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;1;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 595 (20) 4000K EM;Встраиваемый светильникOPL/R ECO LED 595 (20) 4000K EM;Нет значения;0.95;Сталь Белый
OPL/R ECO LED 595 (50) 4000K;1028001270;0.05;100;4,45;4,45;595;595;85;C:\ProgramData\Autodesk\IES\LT_Company\1028001270_opl_r_eco_led_595_(50)_4000k.ies;5500;4000;светильник;Драйвер;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;0;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 595 (50) 4000K;Встраиваемый светильникOPL/R ECO LED 595 (50) 4000K;Нет значения;0.95;Сталь Белый
OPL/R ECO LED 595 (50) 4000K EM;1028001730;0.05;100;5;5;595;595;85;C:\ProgramData\Autodesk\IES\LT_Company\1028001730_opl_r_eco_led_595_(50)_em_4000k.ies;5500;4000;светильник;Драйвер;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;1;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 595 (50) 4000K EM;Встраиваемый светильникOPL/R ECO LED 595 (50) 4000K EM;Нет значения;0.95;Сталь Белый
OPL/R ECO LED 595 3000K;1028000960;0.032;113;4,45;4,45;595;595;85;C:\ProgramData\Autodesk\IES\LT_Company\1028000960_opl_r_eco_led_595_3000k.ies;3600;3000;светильник;Драйвер;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;0;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 595 3000K;Встраиваемый светильникOPL/R ECO LED 595 3000K;Нет значения;0.95;Сталь Белый
OPL/R ECO LED 595 3000K DALI;1028001090;0.032;113;4,5;4,5;595;595;85;C:\ProgramData\Autodesk\IES\LT_Company\1028001090_opl_r_eco_led_595_hfd_3000k.ies;3600;3000;светильник;Драйвер DALI;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;0;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 595 3000K DALI;Встраиваемый светильникOPL/R ECO LED 595 3000K DALI;Нет значения;0.95;Сталь Белый
OPL/R ECO LED 595 4000K;1028000130;0.032;113;4,45;4,45;595;595;85;C:\ProgramData\Autodesk\IES\LT_Company\1028000130_opl_r_eco_led_595_4000k.ies;3600;4000;светильник;Драйвер;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;0;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 595 4000K;Встраиваемый светильникOPL/R ECO LED 595 4000K;Нет значения;0.95;Сталь Белый
OPL/R ECO LED 595 4000K 1-10V;1028000320;0.032;113;4,5;4,5;595;595;85;C:\ProgramData\Autodesk\IES\LT_Company\1028000320_opl_r_eco_led_595_hfr_4000k.ies;3600;4000;светильник;Драйвер 1-10В;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;0;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 595 4000K 1-10V;Встраиваемый светильникOPL/R ECO LED 595 4000K 1-10V;Нет значения;0.95;Сталь Белый
